date,node,status,response_ms
2026-04-09,LLNL (USA),online,737
2026-04-09,DKRZ (Germany),online,1838
2026-04-09,IPSL (France),offline,761
2026-04-09,NCI (Australia),online,1931
2026-04-09,CEDA (UK),offline,-1
2026-04-09,CMCC (Italy),offline,631
2026-06-01,LLNL (USA),slow,8245
2026-06-01,DKRZ (Germany),online,1420
2026-06-01,IPSL (France),offline,660
2026-06-01,NCI (Australia),offline,2504
2026-06-01,CEDA (UK),offline,-1
2026-06-01,CMCC (Italy),offline,642
2026-06-02,LLNL (USA),offline,-1
2026-06-02,DKRZ (Germany),online,1898
2026-06-02,IPSL (France),offline,798
2026-06-02,NCI (Australia),online,2382
2026-06-02,CEDA (UK),offline,-1
2026-06-02,CMCC (Italy),offline,989
